food-authority	local-authority	name	website	email
898	BPL	Blackpool	http://www.blackpool.gov.uk/Services/A-F/FoodHygiene/	foodcontrol@blackpool.gov.uk
552	BGW	Blaenau Gwent	http://www.blaenau-gwent.gov.uk	environmental.health@blaenau-gwent.gov.uk
063	DBY-UC	Bolsover	http://www.bolsover.gov.uk/	enquiries@bolsover.gov.uk
403	BOL	Bolton	http://www.bolton.gov.uk	environmental.health@bolton.gov.uk
219	LIN-UB	Boston	http://www.boston.gov.uk	env.serv@boston.gov.uk
872	BMH	Bournemouth	http://www.bournemouth.gov.uk	foodandhealthandsafety@bournemouth.gov.uk
882	BRC	Bracknell Forest	http://www.bracknell-forest.gov.uk	environmental.health@bracknell-forest.gov.uk
404	BRD	Bradford	http://www.bradford.gov.uk	eh.admin@bradford.gov.uk
110	ESS-UC	Braintree	http://www.braintree.gov.uk	health_protection@braintree.gov.uk
227	NFK-UB	Breckland	http://www.breckland.gov.uk/	eh.bst@breckland.gov.uk
504	BEN	Brent	http://www.brent.gov.uk/	ens.foodsafety@brent.gov.uk
111	ESS-UD	Brentwood	http://www.brentwood.gov.uk/	envhealth@brentwood.gov.uk
553	BGE	Bridgend	http://www.bridgend.gov.uk/	publicprotection@bridgend.gov.uk
875	BNH	Brighton and Hove	http://www.brighton-hove.gov.uk/foodsafety	ehl.food@brighton-hove.gov.uk
855	BST	Bristol	http://www.bristol.gov.uk	food.safety@bristol.gov.uk
228	NFK-UC	Broadland	http://www.broadland.gov.uk	environ.enforcement@broadland.gov.uk
505	BRY	Bromley	http://www.bromley.gov.uk	food@bromley.gov.uk
145	WOR-UB	Bromsgrove	http://www.worcsregservices.gov.uk	wrsenquiries@worcestershire.gov.uk
155	HRT-UB	Broxbourne	http://www.broxbourne.gov.uk	envhealth@broxbourne.gov.uk
261	NTT-UD	Broxtowe	http://www.broxtowe.gov.uk	health@broxtowe.gov.uk
196	LAN-UD	Burnley	http://www.burnley.gov.uk	envhealth@burnley.gov.uk
405	BUR	Bury	http://www.bury.gov.uk	Foodsafety@bury.gov.uk
555	CAY	Caerphilly	http://www.caerphilly.gov.uk	foodhealthandsafety@caerphilly.gov.uk
406	CLD	Calderdale	http://www.calderdale.gov.uk	environmental.health@calderdale.gov.uk
027	CAM-UB	Cambridge City	http://www.cambridge.gov.uk	env.health@cambridge.gov.uk
506	CMD	Camden	http://www.camden.gov.uk	planningandpublicprotection@camden.gov.uk
287	STS-UB	Cannock Chase	http://www.cannockchasedc.gov.uk	environmentalhealth@cannockchasedc.gov.uk
180	KEN-UC	Canterbury City	http://www.canterbury.gov.uk	food@canterbury.gov.uk
556	CRF	Cardiff	http://www.cardiff.gov.uk/foodsafety	foodteam@cardiff.gov.uk
057	CMA-UD	Carlisle City	http://www.carlisle.gov.uk	Environmentalhealth@carlisle.gov.uk
558	CMN	Carmarthenshire	http://www.carmarthenshire.gov.uk	PublicProtection@carmarthenshire.gov.uk
112	ESS-UE	Castle Point	http://www.castlepoint.gov.uk	environmentalhealth@castlepoint.gov.uk
805	CCG	Causeway Coast and Glens	http://www.causewaycoastandglens.gov.uk	info@causewaycoastandglens.gov.uk
702	CBF	Central Bedfordshire	http://www.centralbedfordshire.gov.uk	env.health@centralbedfordshire.gov.uk
557	CGN	Ceredigion	http://www.ceredigion.gov.uk/	envhealth@ceredigion.gov.uk
210	LEC-UC	Charnwood	http://www.charnwood.gov.uk/	food.hygiene@charnwood.gov.uk
113	ESS-UF	Chelmsford	http://www.chelmsford.gov.uk	safesupport@chelmsford.gov.uk
124	GLS-UB	Cheltenham	http://www.cheltenham.gov.uk	ehbusinesssupport@cheltenham.gov.uk
268	OXF-UB	Cherwell	http://www.cherwell.gov.uk	public.protection@cherwell-dc.gov.uk
703	CHE	Cheshire East	http://www.cheshireeast.gov.uk/	commercialservices@cheshireeast.gov.uk
704	CHW	Cheshire West and Chester	http://www.cheshirewestandchester.gov.uk	foodsafety@cheshirewestandchester.gov.uk
064	DBY-UD	Chesterfield	http://www.chesterfield.gov.uk	food@chesterfield.gov.uk
325	WSX-UD	Chichester	http://www.chichester.gov.uk	environmentalhealth@chichester.gov.uk
022	BKM-UC	Chiltern	http://www.chiltern.gov.uk	envhealth@chiltern.gov.uk
197	LAN-UE	Chorley	http://www.chorley.gov.uk/foodratings	contact@chorley.gov.uk
084	DOR-UC	Christchurch	http://www.dorsetforyou.com	environmental.services@christchurch.gov.uk
508	LND	City of London Corporation	http://www.cityoflondon.gov.uk/Corporation/homepage.htm	publicprotection@cityoflondon.gov.uk
768	CLK	Clackmannanshire	http://www.clacksweb.org.uk	ehealth@clacks.gov.uk
114	ESS-UG	Colchester	http://www.colchester.gov.uk	food.safety@colchester.gov.uk
791	ELS	Comhairle nan Eilean Siar (Western Isles)	http://www.cne-siar.gov.uk/foodsafety/food-hygiene-scheme.asp	eh@cne-siar.gov.uk
550	CWY	Conwy	http://www.conwy.gov.uk	regulatory.services@conwy.gov.uk
058	CMA-UE	Copeland	http://www.copeland.gov.uk	envhealth@copeland.gov.uk
235	NTH-UB	Corby	http://www.corby.gov.uk/Pages/Welcome.aspx	env.health@corby.gov.uk
705	CON	Cornwall	http://www.cornwall.gov.uk	envhealthandlicensing@cornwall.gov.uk
125	GLS-UC	Cotswold	http://www.cotswold.gov.uk	foodandsafetymail@cotswold.gov.uk
407	COV	Coventry	http://www.coventry.gov.uk	ehcommercial@coventry.gov.uk
250	NYK-UB	Craven	http://www.cravendc.gov.uk	environmentalhealth@cravendc.gov.uk
326	WSX-UE	Crawley	http://www.crawley.gov.uk	foodandsafety@crawley.gov.uk
507	CRY	Croydon	http://www.croydon.gov.uk	food.safety@croydon.gov.uk
156	HRT-UC	Dacorum	http://www.dacorum.gov.uk	environmental.health@dacorum.gov.uk
874	DAL	Darlington	http://www.darlington.gov.uk	environmentalhealth@darlington.gov.uk
181	KEN-UD	Dartford	http://www.dartford.gov.uk/foodsafety/index.htm	environmentalhealth@dartford.gov.uk
236	NTH-UC	Daventry	http://www.daventrydc.gov.uk	healthimprovement@daventrydc.gov.uk
559	DEN	Denbighshire	http://www.denbighshire.gov.uk/	envhealth@denbighshire.gov.uk
871	DER	Derby City	http://www.derby.gov.uk	environmental.services@derby.gov.uk
070	DBY-UF	Derbyshire Dales	http://www.derbyshiredales.gov.uk/fhrs	envhealth@derbyshiredales.gov.uk
813	DRS	Derry City and Strabane	http://www.derrycityandstrabanedc.com	ehealth@derrycityandstrabanedc.com
408	DNC	Doncaster	http://www.doncaster.gov.uk	food.safety@doncaster.gov.uk
182	KEN-UE	Dover	http://www.dover.gov.uk/	envhealth@dover.gov.uk
409	DUD	Dudley	http://www.dudley.gov.uk	foodandsafety@dudley.gov.uk
770	DGY	Dumfries and Galloway	http://www.dumgal.gov.uk/	contact@dumgal.gov.uk
772	DND	Dundee City	http://www.dundeecity.gov.uk/environment/hygieneinfo/	food.safety@dundeecity.gov.uk
706	DUR	Durham	http://www.durham.gov.uk	ehcp@durham.gov.uk
509	EAL	Ealing	http://www.ealing.gov.uk/info/200798/food_hygiene_and_safety	foodsafety@ealing.gov.uk
764	EAY	East Ayrshire	http://eac.eu/	environmentalhealth@east-ayrshire.gov.uk
028	CAM-UC	East Cambridgeshire	http://www.eastcambs.gov.uk	customerservices@eastcambs.gov.uk
072	DEV-UB	East Devon	http://www.eastdevon.gov.uk	environmentalhealth@eastdevon.gov.uk
085	DOR-UD	East Dorset	http://www.dorsetforyou.gov.uk	publichealth@christchurchandeastdorset.gov.uk
771	EDU	East Dunbartonshire	http://www.eastdunbarton.gov.uk/home.aspx	environmentalhealth@eastdunbarton.gov.uk
132	HAM-UC	East Hampshire	http://www.easthants.gov.uk/	ehealth@easthants.gov.uk
157	HRT-UD	East Hertfordshire	http://www.eastherts.gov.uk	environmental.health@eastherts.gov.uk
220	LIN-UC	East Lindsey	http://www.e-lindsey.gov.uk/	customerservices@e-lindsey.gov.uk
781	ELN	East Lothian	http://www.eastlothian.gov.uk	ehts@eastlothian.gov.uk
237	NTH-UD	East Northamptonshire	http://www.east-northamptonshire.gov.uk/	commhealth@east-northamptonshire.gov.uk
787	ERW	East Renfrewshire	http://www.eastrenfrewshire.gov.uk/	EnvironmentalHealth@eastrenfrewshire.gov.uk
863	ERY	East Riding of Yorkshire	http://www.eastriding.gov.uk	food.services@eastriding.gov.uk
288	STS-UC	East Staffordshire	http://www.eaststaffsbc.gov.uk	foodteam@eaststaffsbc.gov.uk
102	ESX-UC	Eastbourne	http://www.eastbourne.gov.uk/foodratings	Customerfirst@eastbourne.gov.uk
133	HAM-UD	Eastleigh	http://www.eastleigh.gov.uk/	eh@eastleigh.gov.uk
059	CMA-UF	Eden	http://www.eden.gov.uk/	foodratings@eden.gov.uk
773	EDH	Edinburgh (City of)	http://www.edinburgh.gov.uk/foodsafety	environmentalhealth@edinburgh.gov.uk
305	SRY-UB	Elmbridge	http://www.elmbridge.gov.uk/food	envhealth@elmbridge.gov.uk
510	ENF	Enfield	http://www.enfield.gov.uk/	environmentalhealth@enfield.gov.uk
115	ESS-UH	Epping Forest	http://www.eppingforestdc.gov.uk	publichealth@eppingforestdc.gov.uk
306	SRY-UC	Epsom and Ewell	http://www.epsom-ewell.gov.uk/ratings	ehpublichealth@epsom-ewell.gov.uk
066	DBY-UG	Erewash	http://www.erewash.gov.uk/	environmentalhealth@erewash.gov.uk
073	DEV-UC	Exeter City	http://www.exeter.gov.uk	environmental.health@exeter.gov.uk
774	FAL	Falkirk	http://www.falkirk.gov.uk/	fs@falkirk.gov.uk
134	HAM-UE	Fareham	http://www.fareham.gov.uk	regulatory@fareham.gov.uk
029	CAM-UD	Fenland	http://www.fenland.gov.uk/article/2117/Food-Safety	environmentalservicerequests@fenland.gov.uk
816	FMO	Fermanagh and Omagh	http://www.fermanaghomagh.com	fs@fermanaghomagh.com
775	FIF	Fife	http://www.fifedirect.org.uk/fife_council/index.cfm	Food.Advice@fife.gov.uk
560	FLN	Flintshire	http://www.flintshire.gov.uk/	food.safety@flintshire.gov.uk
298	SFK-UC	Forest Heath	http://www.westsuffolk.gov.uk	food&safety@westsuffolk.gov.uk
126	GLS-UD	Forest of Dean	http://www.fdean.gov.uk	food@fdean.gov.uk
198	LAN-UF	Fylde	http://www.fylde.gov.uk/environment/environmental-health/food-safety/national-food-hygiene-rating-scheme/	commercial@fylde.gov.uk
410	GAT	Gateshead	http://www.gateshead.gov.uk	EnvironmentalHealth@gateshead.gov.uk
262	NTT-UE	Gedling	http://www.gedling.gov.uk/	foodsafety@gedling.gov.uk
776	GLG	Glasgow City	http://www.glasgow.gov.uk	food.safety@glasgow.gov.uk
127	GLS-UE	Gloucester City	http://www.gloucester.gov.uk	heretohelp@gloucester.gov.uk
135	HAM-UF	Gosport	http://www.gosport.gov.uk	ehs@gosport.gov.uk
184	KEN-UG	Gravesham	http://www.gravesham.gov.uk/	hygiene.ratingscheme@gravesham.gov.uk
229	NFK-UD	Great Yarmouth	http://www.great-yarmouth.gov.uk/live/index.htm	health@great-yarmouth.gov.uk
511	GRE	Greenwich	http://www.royalgreenwich.gov.uk	health@royalgreenwich.gov.uk
307	SRY-UD	Guildford	http://www.guildford.gov.uk	HCCS@guildford.gov.uk
554	GWN	Gwynedd	http://www.gwynedd.gov.uk	BwydIechydaDiogelwch@gwynedd.gov.uk
512	HCK	Hackney	http://www.hackney.gov.uk/e-env-environmental-health.htm	technicalbusinesssupport@hackney.gov.uk
889	HAL	Halton	http://www.halton.gov.uk	environmental.protection@halton.gov.uk
251	NYK-UC	Hambleton	http://www.hambleton.gov.uk/	fhrs@hambleton.gov.uk
513	HMF	Hammersmith and Fulham	http://www.lbhf.gov.uk	commercialservices@lbhf.gov.uk
211	LEC-UD	Harborough	http://www.harborough.gov.uk	foodandsafety@harborough.gov.uk
514	HRY	Haringey	http://www.haringey.gov.uk	enforcement@haringey.gov.uk
116	ESS-UJ	Harlow	http://www.harlow.gov.uk/	env.health@harlow.gov.uk
252	NYK-UD	Harrogate	http://www.harrogate.gov.uk	foodandoccupationalsafety@harrogate.gov.uk
515	HRW	Harrow	http://www.harrow.gov.uk	ehealth@harrow.gov.uk
136	HAM-UG	Hart	http://www.hart.gov.uk/index/environment-and-planning/environmental_health/food_safety.htm	eh@hart.gov.uk
859	HPL	Hartlepool	http://www.hartlepool.gov.uk	jane.kett@hartlepool.gov.uk
103	ESX-UD	Hastings	http://www.hastings.gov.uk	fhrs@hastings.gov.uk
137	HAM-UH	Havant	http://www.havant.gov.uk	ehcommercial@havant.gov.uk
516	HAV	Havering	http://www.havering.gov.uk	environmental.health@havering.gov.uk
895	HEF	Herefordshire	http://www.herefordshire.gov.uk/	info@herefordshire.gov.uk
158	HRT-UE	Hertsmere	http://www.hertsmere.gov.uk	environmental.health@hertsmere.gov.uk
067	DBY-UH	High Peak	http://www.highpeak.gov.uk	borough-council@highpeak.gov.uk
777	HLD	Highland	http://www.highland.gov.uk	env.health@highland.gov.uk
517	HIL	Hillingdon	http://www.hillingdon.gov.uk/foodsafety	environmentalhealthcp@hillingdon.gov.uk
212	LEC-UE	Hinckley and Bosworth	http://www.hinckley-bosworth.gov.uk	esadmin@hinckley-bosworth.gov.uk
327	WSX-UF	Horsham	http://www.horsham.gov.uk	publichealth.licensing@horsham.gov.uk
518	HNS	Hounslow	http://www.hounslow.gov.uk	foodsafety@hounslow.gov.uk
866	KHL	Hull City	http://www.hullcc.gov.uk	environmental.health@hullcc.gov.uk
030	CAM-UE	Huntingdonshire	http://www.huntingdonshire.gov.uk	food@huntingdonshire.gov.uk
199	LAN-UG	Hyndburn	http://www.hyndburnbc.gov.uk	enquiries@hyndburnbc.gov.uk
778	IVC	Inverclyde	http://www.inverclyde.gov.uk/business-and-trade/food-safety-and-standards/	safer.communities@inverclyde.gov.uk
299	SFK-UD	Ipswich	http://www.ipswich.gov.uk	foodsafety@ipswich.gov.uk
867	IOW	Isle of Wight	http://www.iwight.com/eh	eh@iow.gov.uk
336	IOS	Isles of Scilly	http://www.scilly.gov.uk/	environmentalhealth@scilly.gov.uk
519	ISL	Islington	http://www.islington.gov.uk	Commercial.Envh@islington.gov.uk
520	KEC	Kensington and Chelsea	http://www.rbkc.gov.uk	food.hygiene@rbkc.gov.uk
238	NTH-UE	Kettering	http://www.kettering.gov.uk	fhrs@kettering.gov.uk
230	NFK-UE	King's Lynn and West Norfolk	http://www.west-norfolk.gov.uk/	foodhygieneandsafety@west-norfolk.gov.uk
521	KTT	Kingston-Upon-Thames	http://www.kingston.gov.uk	environmental.health@rbk.kingston.gov.uk
411	KIR	Kirklees	http://www.kirklees.gov.uk/	food.safety@kirklees.gov.uk
412	KWL	Knowsley	http://www.knowsley.gov.uk	environmentalhealth@knowsley.gov.uk
522	LBH	Lambeth	http://www.lambeth.gov.uk	foodhealthandsafety@lambeth.gov.uk
200	LAN-UH	Lancaster City	http://www.lancaster.gov.uk/foodratings	foodratings@lancaster.gov.uk
413	LDS	Leeds	http://www.leeds.gov.uk/	food.safety@leeds.gov.uk
878	LCE	Leicester City	http://www.leicester.gov.uk/food	food@leicester.gov.uk
105	ESX-UF	Lewes	http://www.lewes.gov.uk/	ehealth@lewes.gov.uk
523	LEW	Lewisham	http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx	david.edwards@lewisham.gov.uk
289	STS-UD	Lichfield	http://www.lichfielddc.gov.uk	food.safety@lichfielddc.gov.uk
221	LIN-UD	Lincoln City	http://www.lincoln.gov.uk	ehcnet@lincoln.gov.uk
809	LBC	Lisburn and Castlereagh City	http://www.lisburncastlereagh.gov.uk/	eh@lisburncastlereagh.gov.uk
414	LIV	Liverpool	http://www.liverpool.gov.uk/	environmental.health@liverpool.gov.uk
869	LUT	Luton	http://www.luton.gov.uk/foodscore	environmentalhealth@luton.gov.uk
185	KEN-UH	Maidstone	http://www.maidstone.gov.uk/	customerservices@maidstone.gov.uk
117	ESS-UK	Maldon	http://www.maldon.gov.uk	environmentservices.request@maldon.gov.uk
148	WOR-UC	Malvern Hills	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
415	MAN	Manchester	http://www.manchester.gov.uk	envhealth@manchester.gov.uk
263	NTT-UF	Mansfield	http://www.mansfield.gov.uk	envhealth@mansfield.gov.uk
896	MDW	Medway	http://www.medway.gov.uk/	foodandsafety@medway.gov.uk
214	LEC-UG	Melton	http://www.melton.gov.uk	fhrs@melton.gov.uk
281	SOM-UB	Mendip	http://www.mendip.gov.uk	env-health@mendip.gov.uk
561	MTY	Merthyr Tydfil	http://www.merthyr.gov.uk	publichealth@merthyr.gov.uk
524	MRT	Merton	http://www.merton.gov.uk	EHCommercial@merton.gov.uk
804	MEA	Mid and East Antrim	http://www.midandeastantrim.gov.uk	ballymena.envhealth@midandeastantrim.gov.uk
074	DEV-UD	Mid Devon	http://www.middevon.gov.uk	ehadmin@middevon.gov.uk
300	SFK-UE	Mid Suffolk	http://www.midsuffolk.gov.uk/	food.safety@babergh.gov.uk
328	WSX-UG	Mid Sussex	http://www.midsussex.gov.uk/	foodsafety@midsussex.gov.uk
811	MUL	Mid Ulster	http://www.midulstercouncil.org	environmentalhealth@midulstercouncil.org
861	MDB	Middlesbrough	http://www.middlesbrough.gov.uk	contactcentre@middlesbrough.gov.uk
783	MLN	Midlothian	http://www.midlothian.gov.uk	foodandsafety@midlothian.gov.uk
870	MIK	Milton Keynes	http://www.milton-keynes.gov.uk	ehfst@milton-keynes.gov.uk
308	SRY-UE	Mole Valley	http://www.molevalley.gov.uk	EnvHealth@molevalley.gov.uk
562	MON	Monmouthshire	http://www.monmouthshire.gov.uk	environmentalhealth@monmouthshire.gov.uk
784	MRY	Moray	http://www.moray.gov.uk	foodsafety@moray.gov.uk
563	NTL	Neath Port Talbot	http://www.npt.gov.uk	ehd@npt.gov.uk
138	HAM-UJ	New Forest	http://www.newforest.gov.uk	hygiene.rating@nfdc.gov.uk
264	NTT-UG	Newark and Sherwood	http://www.newark-sherwooddc.gov.uk/	environmental.health@nsdc.info
416	NET	Newcastle Upon Tyne	http://www.newcastle.gov.uk/	rspp@newcastle.gov.uk
290	STS-UE	Newcastle-Under-Lyme	http://www.newcastle-staffs.gov.uk/	foodandsafety@newcastle-staffs.gov.uk
525	NWM	Newham	http://ww2.newham.gov.uk/Pages/index.aspx	food@newham.gov.uk
564	NWP	Newport	http://www.newport.gov.uk	environmental.health@newport.gov.uk
814	NMD	"Newry	 Mourne and Down"	http://www.newrymournedown.org	env.health@nmandd.org
765	NAY	North Ayrshire	http://www.north-ayrshire.gov.uk/PlanningAndTheEnvironment/EnvironmentalHealth/EnvironmentalHealth-Food/FoodHygieneInformationScheme.aspx	environmentalhealth@north-ayrshire.gov.uk
075	DEV-UE	North Devon	http://www.northdevon.gov.uk	customerservices@northdevon.gov.uk
086	DOR-UE	North Dorset	http://www.dorsetforyou.com	envlicens@north-dorset.gov.uk
068	DBY-UJ	North East Derbyshire	http://www.ne-derbyshire.gov.uk/	envhealth@ne-derbyshire.gov.uk
865	NEL	North East Lincolnshire	http://www.nelincs.gov.uk	environmental.health@nelincs.gov.uk
159	HRT-UF	North Hertfordshire	http://www.north-herts.gov.uk	env.health@north-herts.gov.uk
222	LIN-UE	North Kesteven	http://www.n-kesteven.gov.uk	FoodTeam@n-kesteven.gov.uk
779	NLK	North Lanarkshire	http://www.northlanarkshire.gov.uk	P&EFoodsafety@northlan.gov.uk
864	NLN	North Lincolnshire	http://www.northlincs.gov.uk/environment/environmentalhealth/food/food-safety/	food.safety@northlincs.gov.uk
231	NFK-UF	North Norfolk	http://www.northnorfolk.org	commercial@north-norfolk.gov.uk
858	NSM	North Somerset	http://www.n-somerset.gov.uk	foodandsafety@n-somerset.gov.uk
417	NTY	North Tyneside	http://www.northtyneside.gov.uk/	environmental.health@northtyneside.gov.uk
317	WAR-UB	North Warwickshire	http://www.northwarks.gov.uk	foodsafety@northwarks.gov.uk
215	LEC-UH	North West Leicestershire	http://www.nwleics.gov.uk	ehealth@nwleicestershire.gov.uk
239	NTH-UF	Northampton	http://www.northampton.gov.uk	ehadmin@northampton.gov.uk
707	NBL	Northumberland	http://www.northumberland.gov.uk	envhealthsoutheast@northumberland.gov.uk
232	NFK-UG	Norwich City	http://www.norwich.gov.uk/foodhygieneratings	foodandsafety@norwich.gov.uk
899	NGM	Nottingham City	http://www.nottinghamcity.gov.uk/foodsafety	food.enforcement@nottinghamcity.gov.uk
318	WAR-UC	Nuneaton and Bedworth	http://www.nuneatonandbedworth.gov.uk	carl.jacobs@nuneatonandbedworth.gov.uk
216	LEC-UJ	Oadby and Wigston	http://www.oadby-wigston.gov.uk	env.health@oadby-wigston.gov.uk
418	OLD	Oldham	https://www.oldham.gov.uk	FHRS@oldham.gov.uk
785	ORK	Orkney Islands	http://www.orkney.gov.uk/	env.health@orkney.gov.uk
269	OXF-UC	Oxford City	http://www.oxford.gov.uk	foodsafety@oxford.gov.uk
565	PEM	Pembrokeshire	http://www.pembrokeshire.gov.uk	foodratings@pembrokeshire.gov.uk
201	LAN-UJ	Pendle	http://www.pendle.gov.uk	environmental.food@pendle.gov.uk
786	PKN	Perth and Kinross	http://www.pkc.gov.uk/Business+and+trade/Health+and+safety/Health+and+safety+-+food/Food+hygiene/Food+hygiene+information/Food+Hygiene+Information.htm	ES@pkc.gov.uk
888	PTE	Peterborough City	http://www.peterborough.gov.uk	foodandsafety@peterborough.gov.uk
891	PLY	Plymouth City	http://www.plymouth.gov.uk	public.protection@plymouth.gov.uk
873	POL	Poole	http://www.boroughofpoole.com/	environment@poole.gov.uk
876	POR	Portsmouth	http://www.portsmouth.gov.uk	public.protection@portsmouthcc.gov.uk
566	POW	Powys	http://www.powys.gov.uk	public.protection@powys.gov.uk
202	LAN-UK	Preston	http://www.preston.gov.uk	info@preston.gov.uk
088	DOR-UG	Purbeck	http://www.dorsetforyou.com/purbeck	publichealth@purbeck-dc.gov.uk
884	RDG	Reading	http://www.reading.gov.uk	consumerprotection@reading.gov.uk
526	RDB	Redbridge	http://www.redbridge.gov.uk/	alan.drake@redbridge.gov.uk
860	RCC	Redcar and Cleveland	http://www.redcar-cleveland.gov.uk	food_team@redcar-cleveland.gov.uk
149	WOR-UD	Redditch	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
309	SRY-UF	Reigate and Banstead	http://www.reigate-banstead.gov.uk/	food.safety@reigate-banstead.gov.uk
788	RFW	Renfrewshire	http://www.renfrewshire.gov.uk/webcontent/home/services/environment/food%2C+hygiene+and+quality/es-foodhygieneinformationschemehomepage__wci__1341	b-serv.es@renfrewshire.gov.uk
567	RCT	Rhondda Cynon Taf	http://www.rhondda-cynon-taf.gov.uk/en/business/healthandsafety/foodbusiness-foodsafetyinspections/foodbusiness-foodsafetyinspection.aspx	food.healthandsafety@rctcbc.gov.uk
203	LAN-UL	Ribble Valley	http://www.ribblevalley.gov.uk	environmental.health@ribblevalley.gov.uk
253	NYK-UE	Richmondshire	http://www.richmondshire.gov.uk/	environment@richmondshire.gov.uk
527	RIC	Richmond-Upon-Thames	http://www.richmond.gov.uk	commercialeh@richmond.gov.uk
648		River Tees	http://www.teesporthealth.co.uk	port.health@redcar-cleveland.gov.uk
419	RCH	Rochdale	http://www.rochdale.gov.uk/health_and_social_care/food/food_safety_-_inspections/food_safety_for_businesses.aspx	environmental.health2@rochdale.gov.uk
118	ESS-UL	Rochford	http://www.rochford.gov.uk	customerservices@rochford.gov.uk
204	LAN-UM	Rossendale	http://www.rossendale.gov.uk	envhealth@rossendalebc.gov.uk
106	ESX-UG	Rother	http://www.rother.gov.uk	envhealth@rother.gov.uk
420	ROT	Rotherham	http://www.rotherham.gov.uk	food.health&safety@rotherham.gov.uk
319	WAR-UD	Rugby	http://www.rugby.gov.uk	FS@rugby.gov.uk
310	SRY-UG	Runnymede	http://www.runnymede.gov.uk/portal/site/runnymede	helen.jones@runnymede.gov.uk
266	NTT-UJ	Rushcliffe	http://www.rushcliffe.gov.uk/	envhealth@rushcliffe.gov.uk
140	HAM-UL	Rushmoor	http://www.rushmoor.gov.uk	food@rushmoor.gov.uk
254	NYK-UF	Ryedale	http://www.ryedale.gov.uk/	fshs.admin@ryedale.gov.uk
422	SLF	Salford	http://www.salford.gov.uk/envhealth.htm	environmentalhealth@salford.gov.uk
423	SAW	Sandwell	http://www.sandwell.gov.uk/foodratings	environmental_health@sandwell.gov.uk
255	NYK-UG	Scarborough	http://www.scarborough.gov.uk/foodhygienerating	fos@scarborough.gov.uk
767	SCB	Scottish Borders	http://www.scotborders.gov.uk/	foodteam@scotborders.gov.uk
