registration-district	local-authority	name-cy	name
350	local-authority-eng:STT		Stockton-on-Tees
737	local-authority-eng:STE		Stoke-on-Trent
748	local-authority-eng:SFK		Suffolk
58	local-authority-eng:SND		Sunderland
759	local-authority-eng:SRY		Surrey
254	local-authority-eng:STN		Sutton
897	principal-local-authority:SWA	Abertawe	Swansea
796	local-authority-eng:SWD		Swindon
14	local-authority-eng:TAM		Tameside
716	local-authority-eng:TFW		Telford and Wrekin
477	local-authority-eng:THR		Thurrock
422	local-authority-eng:TOB		Torbay
837	principal-local-authority:TOF	Tor-faen	Torfaen
246	local-authority-eng:TWH		Tower Hamlets
15	local-authority-eng:TRF		Trafford
891	principal-local-authority:VGL	Bro Morgannwg	Vale of Glamorgan
97	local-authority-eng:WKF		Wakefield
75	local-authority-eng:WLL		Walsall
255	local-authority-eng:WFT		Waltham Forest
256	local-authority-eng:WND		Wandsworth
346	local-authority-eng:WRT		Warrington
776	local-authority-eng:WAR		Warwickshire
319	local-authority-eng:WBK		West Berkshire
785	local-authority-eng:WSX		West Sussex
258	local-authority-eng:WSM		Westminster
18	local-authority-eng:WGN		Wigan and Leigh
799	local-authority-eng:WIL		Wiltshire
322	local-authority-eng:WNM		Windsor and Maidenhead
37	local-authority-eng:WRL		Wirral
323	local-authority-eng:WOK		Wokingham
77	local-authority-eng:WLV		Wolverhampton
527	local-authority-eng:WOR		Worcestershire
813	principal-local-authority:WRX	Wrecsam	Wrexham
661	local-authority-eng:YOR		York
