food-authority	name	website	email
287	Cannock Chase	http://www.cannockchasedc.gov.uk	environmentalhealth@cannockchasedc.gov.uk
288	East Staffordshire	http://www.eaststaffsbc.gov.uk	foodteam@eaststaffsbc.gov.uk
289	Lichfield	http://www.lichfielddc.gov.uk	food.safety@lichfielddc.gov.uk
290	Newcastle-Under-Lyme	http://www.newcastle-staffs.gov.uk/	foodandsafety@newcastle-staffs.gov.uk
291	South Staffordshire	http://www.sstaffs.gov.uk	env.commercial@sstaffs.gov.uk
292	Stafford	http://www.staffordbc.gov.uk	regulatoryservices@staffordbc.gov.uk
293	Staffordshire Moorlands	http://www.staffsmoorlands.gov.uk	environmental.health@staffsmoorlands.gov.uk
295	Tamworth	http://www.tamworth.gov.uk	publicprotection@tamworth.gov.uk
297	Babergh	http://www.babergh.gov.uk/	food.safety@babergh.gov.uk
298	Forest Heath	http://www.westsuffolk.gov.uk	food&safety@westsuffolk.gov.uk
299	Ipswich	http://www.ipswich.gov.uk	foodsafety@ipswich.gov.uk
300	Mid Suffolk	http://www.midsuffolk.gov.uk/	food.safety@babergh.gov.uk
301	St Edmundsbury	http://www.westsuffolk.gov.uk	food&safety@westsuffolk.gov.uk
302	Suffolk Coastal	http://www.suffolkcoastal.gov.uk	environment@eastsuffolk.gov.uk
303	Waveney	http://www.waveney.gov.uk	environment@eastsuffolk.gov.uk
305	Elmbridge	http://www.elmbridge.gov.uk/food	envhealth@elmbridge.gov.uk
306	Epsom and Ewell	http://www.epsom-ewell.gov.uk/ratings	ehpublichealth@epsom-ewell.gov.uk
307	Guildford	http://www.guildford.gov.uk	HCCS@guildford.gov.uk
308	Mole Valley	http://www.molevalley.gov.uk	EnvHealth@molevalley.gov.uk
309	Reigate and Banstead	http://www.reigate-banstead.gov.uk/	food.safety@reigate-banstead.gov.uk
310	Runnymede	http://www.runnymede.gov.uk/portal/site/runnymede	helen.jones@runnymede.gov.uk
311	Spelthorne	http://www.spelthorne.gov.uk	environmental.health.commercial@spelthorne.gov.uk
312	Surrey Heath	http://www.surreyheath.gov.uk	environmental.health@surreyheath.gov.uk
313	Tandridge	http://www.tandridge.gov.uk/	fsa_enforcement@tandridge.gov.uk
314	Waverley	http://www.waverley.gov.uk	environmentalhealth@waverley.gov.uk
315	Woking	http://www.woking.gov.uk	emma.bourne@woking.gov.uk
317	North Warwickshire	http://www.northwarks.gov.uk	foodsafety@northwarks.gov.uk
318	Nuneaton and Bedworth	http://www.nuneatonandbedworth.gov.uk	carl.jacobs@nuneatonandbedworth.gov.uk
319	Rugby	http://www.rugby.gov.uk	FS@rugby.gov.uk
320	Stratford-on-Avon	http://www.stratford.gov.uk	food@stratford-dc.gov.uk
321	Warwick	http://www.warwickdc.gov.uk	foodsafety@warwickdc.gov.uk
323	Adur	http://www.adur-worthing.gov.uk	envsupport@adur-worthing.gov.uk
324	Arun	http://www.arun.gov.uk	food.safety@arun.gov.uk
325	Chichester	http://www.chichester.gov.uk	environmentalhealth@chichester.gov.uk
326	Crawley	http://www.crawley.gov.uk	foodandsafety@crawley.gov.uk
327	Horsham	http://www.horsham.gov.uk	publichealth.licensing@horsham.gov.uk
328	Mid Sussex	http://www.midsussex.gov.uk/	foodsafety@midsussex.gov.uk
329	Worthing	http://www.adur-worthing.gov.uk	envsupport@adur-worthing.gov.uk
336	Isles of Scilly	http://www.scilly.gov.uk/	environmentalhealth@scilly.gov.uk
401	Barnsley	http://www.barnsley.gov.uk	regulatoryservices@barnsley.gov.uk
402	Birmingham	http://www.birmingham.gov.uk/environmental-health	nick.lowe@birmingham.gov.uk
403	Bolton	http://www.bolton.gov.uk	environmental.health@bolton.gov.uk
404	Bradford	http://www.bradford.gov.uk	eh.admin@bradford.gov.uk
405	Bury	http://www.bury.gov.uk	Foodsafety@bury.gov.uk
406	Calderdale	http://www.calderdale.gov.uk	environmental.health@calderdale.gov.uk
407	Coventry	http://www.coventry.gov.uk	ehcommercial@coventry.gov.uk
408	Doncaster	http://www.doncaster.gov.uk	food.safety@doncaster.gov.uk
409	Dudley	http://www.dudley.gov.uk	foodandsafety@dudley.gov.uk
410	Gateshead	http://www.gateshead.gov.uk	EnvironmentalHealth@gateshead.gov.uk
411	Kirklees	http://www.kirklees.gov.uk/	food.safety@kirklees.gov.uk
412	Knowsley	http://www.knowsley.gov.uk	environmentalhealth@knowsley.gov.uk
413	Leeds	http://www.leeds.gov.uk/	food.safety@leeds.gov.uk
414	Liverpool	http://www.liverpool.gov.uk/	environmental.health@liverpool.gov.uk
415	Manchester	http://www.manchester.gov.uk	envhealth@manchester.gov.uk
416	Newcastle Upon Tyne	http://www.newcastle.gov.uk/	rspp@newcastle.gov.uk
417	North Tyneside	http://www.northtyneside.gov.uk/	environmental.health@northtyneside.gov.uk
418	Oldham	https://www.oldham.gov.uk	FHRS@oldham.gov.uk
419	Rochdale	http://www.rochdale.gov.uk/health_and_social_care/food/food_safety_-_inspections/food_safety_for_businesses.aspx	environmental.health2@rochdale.gov.uk
420	Rotherham	http://www.rotherham.gov.uk	food.health&safety@rotherham.gov.uk
421	St Helens	http://www.sthelens.gov.uk	environmentalhealth@sthelens.gov.uk
422	Salford	http://www.salford.gov.uk/envhealth.htm	environmentalhealth@salford.gov.uk
423	Sandwell	http://www.sandwell.gov.uk/foodratings	environmental_health@sandwell.gov.uk
424	Sefton	http://www.sefton.gov.uk/	ETSContact@sefton.gov.uk
425	Sheffield	https://www.sheffield.gov.uk/environment/environmental-health.html	healthprotection@sheffield.gov.uk
426	Solihull	http://www.solihull.gov.uk/foodhygieneratingscheme/default.htm	pprotection@solihull.gov.uk
427	South Tyneside	http://www.southtyneside.info	environmental.health@southtyneside.gov.uk
428	Stockport	http://www.stockport.gov.uk	food.safety@stockport.gov.uk
429	Sunderland	http://www.sunderland.gov.uk	public.health@sunderland.gov.uk
430	Tameside	http://www.tameside.gov.uk	environmentalhealth@tameside.gov.uk
431	Trafford	http://www.trafford.gov.uk	environmental.health@trafford.gov.uk
432	Wakefield	http://www.wakefield.gov.uk	food@wakefield.gov.uk
433	Walsall	http://www.walsall.gov.uk/index/environment/food_production_and_quality.htm	foodsafety@walsall.gov.uk
434	Wigan	http://www.wigan.gov.uk/	comm@wigan.gov.uk
435	Wirral	http://www.wirral.gov.uk	environmentalhealth@wirral.gov.uk
436	Wolverhampton	http://www.wolverhampton.gov.uk/	environmentalhealth@wolverhampton.gov.uk
501	Barking and Dagenham	http://www.lbbd.gov.uk/Pages/Home.aspx	fhsteam@lbbd.gov.uk
502	Barnet	http://www.barnet.gov.uk/	FoodSafety@barnet.gov.uk
503	Bexley	http://www.bexley.gov.uk	food.safety@bexley.gov.uk
504	Brent	http://www.brent.gov.uk/	ens.foodsafety@brent.gov.uk
505	Bromley	http://www.bromley.gov.uk	food@bromley.gov.uk
506	Camden	http://www.camden.gov.uk	planningandpublicprotection@camden.gov.uk
507	Croydon	http://www.croydon.gov.uk	food.safety@croydon.gov.uk
508	City of London Corporation	http://www.cityoflondon.gov.uk/Corporation/homepage.htm	publicprotection@cityoflondon.gov.uk
509	Ealing	http://www.ealing.gov.uk/info/200798/food_hygiene_and_safety	foodsafety@ealing.gov.uk
510	Enfield	http://www.enfield.gov.uk/	environmentalhealth@enfield.gov.uk
511	Greenwich	http://www.royalgreenwich.gov.uk	health@royalgreenwich.gov.uk
512	Hackney	http://www.hackney.gov.uk/e-env-environmental-health.htm	technicalbusinesssupport@hackney.gov.uk
513	Hammersmith and Fulham	http://www.lbhf.gov.uk	commercialservices@lbhf.gov.uk
514	Haringey	http://www.haringey.gov.uk	enforcement@haringey.gov.uk
515	Harrow	http://www.harrow.gov.uk	ehealth@harrow.gov.uk
516	Havering	http://www.havering.gov.uk	environmental.health@havering.gov.uk
517	Hillingdon	http://www.hillingdon.gov.uk/foodsafety	environmentalhealthcp@hillingdon.gov.uk
518	Hounslow	http://www.hounslow.gov.uk	foodsafety@hounslow.gov.uk
519	Islington	http://www.islington.gov.uk	Commercial.Envh@islington.gov.uk
520	Kensington and Chelsea	http://www.rbkc.gov.uk	food.hygiene@rbkc.gov.uk
521	Kingston-Upon-Thames	http://www.kingston.gov.uk	environmental.health@rbk.kingston.gov.uk
522	Lambeth	http://www.lambeth.gov.uk	foodhealthandsafety@lambeth.gov.uk
523	Lewisham	http://www.lewisham.gov.uk/myservices/business/food-safety/Pages/default.aspx	david.edwards@lewisham.gov.uk
524	Merton	http://www.merton.gov.uk	EHCommercial@merton.gov.uk
525	Newham	http://ww2.newham.gov.uk/Pages/index.aspx	food@newham.gov.uk
526	Redbridge	http://www.redbridge.gov.uk/	alan.drake@redbridge.gov.uk
527	Richmond-Upon-Thames	http://www.richmond.gov.uk	commercialeh@richmond.gov.uk
528	Southwark	http://www.southwark.gov.uk/	food@southwark.gov.uk
529	Sutton	http://www.sutton.gov.uk	brs@sutton.gov.uk
530	Tower Hamlets	http://www.towerhamlets.gov.uk	foodsafety@towerhamlets.gov.uk
531	Waltham Forest	http://www.walthamforest.gov.uk	environmentalhealth@walthamforest.gov.uk
532	Wandsworth	http://www.wandsworth.gov.uk	foodsafety@wandsworth.gov.uk
533	Westminster	http://www.westminster.gov.uk/	foodsafety@westminster.gov.uk
550	Conwy	http://www.conwy.gov.uk	regulatory.services@conwy.gov.uk
551	Anglesey	http://www.ynysmon.gov.uk	iechydyramgylchedd@ynysmon.gov.uk
551	Ynys Môn	http://www.ynysmon.gov.uk	iechydyramgylchedd@ynysmon.gov.uk
552	Blaenau Gwent	http://www.blaenau-gwent.gov.uk	environmental.health@blaenau-gwent.gov.uk
553	Bridgend	http://www.bridgend.gov.uk/	publicprotection@bridgend.gov.uk
553	Pen-y-bont ar Ogwr	http://www.bridgend.gov.uk/	publicprotection@bridgend.gov.uk
554	Gwynedd	http://www.gwynedd.gov.uk	BwydIechydaDiogelwch@gwynedd.gov.uk
555	Caerffili	http://www.caerphilly.gov.uk	foodhealthandsafety@caerphilly.gov.uk
555	Caerphilly	http://www.caerphilly.gov.uk	foodhealthandsafety@caerphilly.gov.uk
556	Caerdydd	http://www.cardiff.gov.uk/foodsafety	foodteam@cardiff.gov.uk
556	Cardiff	http://www.cardiff.gov.uk/foodsafety	foodteam@cardiff.gov.uk
557	Ceredigion	http://www.ceredigion.gov.uk/	envhealth@ceredigion.gov.uk
558	Carmarthenshire	http://www.carmarthenshire.gov.uk	PublicProtection@carmarthenshire.gov.uk
558	Sir Gaerfyrddin	http://www.carmarthenshire.gov.uk	PublicProtection@carmarthenshire.gov.uk
559	Denbighshire	http://www.denbighshire.gov.uk/	envhealth@denbighshire.gov.uk
559	Sir Ddinbych	http://www.denbighshire.gov.uk/	envhealth@denbighshire.gov.uk
560	Flintshire	http://www.flintshire.gov.uk/	food.safety@flintshire.gov.uk
560	Sir y Fflint	http://www.flintshire.gov.uk/	food.safety@flintshire.gov.uk
561	Merthyr Tudful	http://www.merthyr.gov.uk	publichealth@merthyr.gov.uk
561	Merthyr Tydfil	http://www.merthyr.gov.uk	publichealth@merthyr.gov.uk
562	Monmouthshire	http://www.monmouthshire.gov.uk	environmentalhealth@monmouthshire.gov.uk
562	Sir Fynwy	http://www.monmouthshire.gov.uk	environmentalhealth@monmouthshire.gov.uk
563	Castell-nedd Port Talbot	http://www.npt.gov.uk	ehd@npt.gov.uk
563	Neath Port Talbot	http://www.npt.gov.uk	ehd@npt.gov.uk
564	Casnewydd	http://www.newport.gov.uk	environmental.health@newport.gov.uk
564	Newport	http://www.newport.gov.uk	environmental.health@newport.gov.uk
565	Pembrokeshire	http://www.pembrokeshire.gov.uk	foodratings@pembrokeshire.gov.uk
565	Sir Benfro	http://www.pembrokeshire.gov.uk	foodratings@pembrokeshire.gov.uk
566	Powys	http://www.powys.gov.uk	public.protection@powys.gov.uk
567	Rhondda Cynon Taf	http://www.rhondda-cynon-taf.gov.uk/en/business/healthandsafety/foodbusiness-foodsafetyinspections/foodbusiness-foodsafetyinspection.aspx	food.healthandsafety@rctcbc.gov.uk
568	Abertawe	http://www.swansea.gov.uk	FoodandSafety@swansea.gov.uk
568	Swansea	http://www.swansea.gov.uk	FoodandSafety@swansea.gov.uk
569	Torfaen	http://www.torfaen.gov.uk/	commercial.services@torfaen.gov.uk
570	Bro Morgannwg	http://www.valeofglamorgan.gov.uk	foodsafetyteam@valeofglamorgan.gov.uk
570	Vale of Glamorgan	http://www.valeofglamorgan.gov.uk	foodsafetyteam@valeofglamorgan.gov.uk
571	Wrecsam	http://www.wrexham.gov.uk/	public_protection_service@wrexham.gov.uk
571	Wrexham	http://www.wrexham.gov.uk/	public_protection_service@wrexham.gov.uk
648	River Tees	http://www.teesporthealth.co.uk	port.health@redcar-cleveland.gov.uk
701	Bedford	http://www.bedford.gov.uk	ehadmin@bedford.gov.uk
702	Central Bedfordshire	http://www.centralbedfordshire.gov.uk	env.health@centralbedfordshire.gov.uk
703	Cheshire East	http://www.cheshireeast.gov.uk/	commercialservices@cheshireeast.gov.uk
704	Cheshire West and Chester	http://www.cheshirewestandchester.gov.uk	foodsafety@cheshirewestandchester.gov.uk
705	Cornwall	http://www.cornwall.gov.uk	envhealthandlicensing@cornwall.gov.uk
706	Durham	http://www.durham.gov.uk	ehcp@durham.gov.uk
707	Northumberland	http://www.northumberland.gov.uk	envhealthsoutheast@northumberland.gov.uk
708	Shropshire	http://www.shropshire.gov.uk/foodhygienescheme	food@shropshire.gov.uk
709	Wiltshire	http://www.wiltshire.gov.uk	publicprotectioneast@wiltshire.gov.uk
760	Aberdeen City	http://www.aberdeencity.gov.uk	commercial@aberdeencity.gov.uk
761	Aberdeenshire	http://www.aberdeenshire.gov.uk/	environmental@aberdeenshire.gov.uk
762	Angus	http://www.angus.gov.uk/fhis/	ENVHEALTH@angus.gov.uk
763	Argyll and Bute	http://www.argyll-bute.gov.uk	envhealth@argyll-bute.gov.uk
764	East Ayrshire	http://eac.eu/	environmentalhealth@east-ayrshire.gov.uk
765	North Ayrshire	http://www.north-ayrshire.gov.uk/PlanningAndTheEnvironment/EnvironmentalHealth/EnvironmentalHealth-Food/FoodHygieneInformationScheme.aspx	environmentalhealth@north-ayrshire.gov.uk
